Time_Stamp,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,KneeLeft,SpineBase,HipRight,TrimmingId
603,-0.01701503;0.04832055;1.28553,0.1546936;0.02124528;1.3099,0.214324;-0.2174429;1.350599,0.1731876;-0.3834439;1.173745,0.1586143;-0.4177299;1.151551,-0.2243341;-0.5320048;1.072359,-0.01512198;-0.4582019;1.43399,0.06293326;-0.4459178;1.410021,0
632,-0.01698182;0.04830315;1.285492,0.1546991;0.02124448;1.309886,0.2156641;-0.2142164;1.347929,0.1749242;-0.371358;1.162712,0.1493812;-0.406442;1.124325,-0.2243424;-0.5320106;1.07232,-0.01510664;-0.4582348;1.433939,0.06294134;-0.4459567;1.409964,0
667,-0.01693158;0.04825362;1.285296,0.1546963;0.02125979;1.30982,0.215692;-0.2128708;1.344682,0.1747077;-0.3672767;1.157126,0.1474062;-0.3958682;1.113146,-0.2243225;-0.5319536;1.07211,-0.01514095;-0.4581657;1.433761,0.06293492;-0.4459024;1.409787,0
698,-0.01693074;0.04825806;1.285297,0.1546758;0.0214851;1.311291,0.2160309;-0.2113412;1.342956,0.1749022;-0.3635642;1.153576,0.1466741;-0.3865745;1.10598,-0.2243255;-0.5319197;1.072114,-0.01513372;-0.4581512;1.433769,0.06295034;-0.4458819;1.409797,0
732,-0.01692207;0.04826758;1.285311,0.1546939;0.02150869;1.311309,0.2159271;-0.2095857;1.341887,0.1759586;-0.3531303;1.14536,0.1471403;-0.3755361;1.097567,-0.224363;-0.5319358;1.072086,-0.01516112;-0.4581658;1.433723,0.06290407;-0.445898;1.409746,0
767,-0.01690159;0.04829197;1.285376,0.1547581;0.02156045;1.311337,0.2159484;-0.2079006;1.340367,0.1702795;-0.3440169;1.139667,0.156213;-0.3504235;1.103566,-0.2243534;-0.5319571;1.072085,-0.01518915;-0.4581214;1.433715,0.06287921;-0.4458584;1.409739,0
799,-0.01688378;0.04832451;1.285498,0.1548751;0.02173053;1.312479,0.2192734;-0.2075973;1.335901,0.1872003;-0.3145407;1.115389,0.1490976;-0.3483143;1.078154,-0.2243716;-0.5319706;1.072078,-0.01521816;-0.4581172;1.433694,0.06284016;-0.445858;1.409714,0
834,-0.01686391;0.04832191;1.285437,0.1549051;0.02189159;1.31221,0.223023;-0.2072304;1.330601,0.1831965;-0.309073;1.108882,0.1480992;-0.3298862;1.065325,-0.2246873;-0.5316104;1.071339,-0.01538727;-0.4582347;1.433035,0.06265811;-0.4460364;1.409086,0
867,-0.01682204;0.04835275;1.285478,0.1549076;0.02193889;1.312203,0.2248184;-0.2072937;1.326394,0.1810307;-0.2976884;1.100397,0.1492586;-0.3101795;1.057165,-0.2247754;-0.5316702;1.071185,-0.01548375;-0.45838;1.432796,0.06251004;-0.4463003;1.408765,0
905,-0.01676964;0.04839111;1.285507,0.1548706;0.02215584;1.312124,0.2288228;-0.2063617;1.322075,0.1765758;-0.2706273;1.0889,0.1513293;-0.287255;1.051124,-0.2251829;-0.5319225;1.070928,-0.01522786;-0.4585603;1.432164,0.06270831;-0.446497;1.408112,0
931,-0.01652971;0.04847194;1.285839,0.1548755;0.02221886;1.312207,0.2343035;-0.2041713;1.323799,0.1762104;-0.2316208;1.084752,0.1578659;-0.2602589;1.055861,-0.2255148;-0.5322859;1.071187,-0.01490725;-0.4587021;1.431986,0.06295294;-0.4466361;1.407899,0
967,-0.01640914;0.04850712;1.285908,0.1548983;0.02239918;1.312134,0.239678;-0.2019089;1.324262,0.1769906;-0.2225733;1.085686,0.1553492;-0.2354431;1.042995,-0.2262544;-0.5322846;1.071083,-0.01411348;-0.4590269;1.431383,0.06342582;-0.4468015;1.407483,0
998,-0.01635269;0.0485779;1.286165,0.1549167;0.02277754;1.312122,0.246802;-0.1981465;1.327463,0.1885998;-0.1945209;1.086873,0.1518905;-0.2099002;1.032266,-0.2263801;-0.5325497;1.071324,-0.01370137;-0.4590758;1.43143,0.06378648;-0.4467576;1.407646,0
1036,-0.01623168;0.04866917;1.286328,0.1548575;0.0233685;1.313036,0.2753653;-0.1766239;1.233936,0.1435045;-0.1953391;1.025288,0.1421619;-0.1830417;1.018637,-0.2265226;-0.5327725;1.071461,-0.01367804;-0.4591129;1.431473,0.06374893;-0.446795;1.407818,0
1069,-0.01604879;0.04864223;1.286222,0.1548568;0.02347591;1.313177,0.277264;-0.184445;1.304406,0.1932086;-0.1617701;1.072662,0.149222;-0.1557076;1.018309,-0.2263991;-0.5327291;1.071025,-0.013678;-0.4590855;1.431275,0.06372246;-0.4467593;1.407739,0
