Time_Stamp,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
791,-0.0362636;0.2423521;1.334075,0.0958613;0.2143607;1.299673,0.04959643;0.02816863;1.240245,-0.05832379;-0.1186768;1.163717,-0.1102769;-0.1806761;1.145533,-0.02969531;-0.1635816;1.428988,0
830,-0.03626006;0.2423546;1.334069,0.09593968;0.2143319;1.2996,0.04949248;0.02828834;1.239787,-0.05775511;-0.1186481;1.162414,-0.08842115;-0.1408009;1.143307,-0.0294554;-0.1635264;1.428992,0
859,-0.03625246;0.2423586;1.334068,0.09599448;0.2142935;1.299536,0.04956635;0.02830208;1.239516,-0.05797632;-0.1168602;1.158973,-0.1176703;-0.1780461;1.137627,-0.02905184;-0.1633576;1.429347,0
892,-0.03623936;0.2423867;1.334067,0.09603809;0.2142524;1.29952,0.04962093;0.02829712;1.239363,-0.05843006;-0.1160424;1.157951,-0.1084351;-0.1597478;1.136679,-0.02906023;-0.163208;1.429582,0
925,-0.03623721;0.2424065;1.334078,0.09607252;0.2141898;1.299483,0.04960249;0.02824453;1.239345,-0.05924913;-0.1147618;1.15654,-0.1224263;-0.1752924;1.131646,-0.02919109;-0.1630909;1.429918,0
959,-0.03621623;0.2424224;1.334,0.09615694;0.2140197;1.299269,0.04952647;0.02809669;1.239204,-0.05926219;-0.1149082;1.156313,-0.1084619;-0.1546912;1.130826,-0.02917043;-0.163107;1.429953,0
991,-0.03619831;0.2424188;1.333967,0.09619039;0.2138846;1.299093,0.04926332;0.02801603;1.239111,-0.05969851;-0.1143928;1.155357,-0.1252292;-0.173783;1.127178,-0.02907821;-0.1632836;1.429915,0
1026,-0.03619187;0.2424197;1.333936,0.09622118;0.2137036;1.298871,0.04881237;0.0279201;1.239033,-0.0604271;-0.1136792;1.154192,-0.1107799;-0.1532807;1.131781,-0.02913286;-0.1632555;1.430053,0
1061,-0.03614924;0.2424132;1.333899,0.09623227;0.2134312;1.298589,0.04308887;0.0289029;1.239851,-0.0617288;-0.1149242;1.153082,-0.1123201;-0.1531977;1.133945,-0.02882291;-0.1632943;1.430019,0
1090,-0.03616889;0.2423946;1.333833,0.09625606;0.2131913;1.298292,0.04193842;0.02886778;1.240069,-0.06305162;-0.1146817;1.153034,-0.1130845;-0.1531315;1.135772,-0.02885717;-0.1632736;1.430052,0
1125,-0.03615186;0.242381;1.33372,0.09625883;0.2128558;1.298001,0.03975813;0.02833265;1.239732,-0.06470344;-0.1155717;1.152658,-0.1151676;-0.156065;1.138213,-0.02864037;-0.163121;1.429989,0
1157,-0.03615477;0.2423757;1.333711,0.0962735;0.2126901;1.29792,0.03909692;0.02892404;1.24052,-0.06655823;-0.1145471;1.154236,-0.1168832;-0.1556901;1.141605,-0.03028085;-0.1633745;1.430973,0
1192,-0.03618493;0.2423441;1.333677,0.09627897;0.2124659;1.297753,0.03718378;0.02872677;1.241198,-0.06897314;-0.1148042;1.155711,-0.1175634;-0.158939;1.143893,-0.03093409;-0.1635485;1.431068,0
1225,-0.03618873;0.2423289;1.333661,0.09628881;0.2122868;1.297686,0.0351487;0.02819691;1.242689,-0.0711409;-0.1153611;1.157457,-0.1200389;-0.1627482;1.147744,-0.03101706;-0.1634703;1.431251,0
1259,-0.03622838;0.2423058;1.333713,0.09625904;0.2121896;1.297683,0.03219033;0.02757167;1.244874,-0.07327454;-0.1165306;1.159561,-0.1218104;-0.1661727;1.151088,-0.03100551;-0.163217;1.43202,0
1292,-0.03620226;0.2422048;1.333324,0.09622829;0.2118495;1.297201,0.03061435;0.02716822;1.244702,-0.07434911;-0.1174912;1.159752,-0.120274;-0.1723413;1.150678,-0.03100851;-0.163178;1.431875,0
1325,-0.03623301;0.2421761;1.333253,0.09618735;0.2116889;1.297071,0.02813502;0.02647303;1.245416,-0.07667582;-0.1188421;1.16151,-0.1211689;-0.175818;1.155018,-0.0312066;-0.1632541;1.431965,0
1356,-0.0362633;0.242132;1.333186,0.09609329;0.2114901;1.296846,0.02673458;0.02637803;1.246,-0.0791937;-0.1196038;1.164954,-0.1195828;-0.1783082;1.158601,-0.0310181;-0.1631028;1.432094,0
