Time_Stamp,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
0,0.1366542;-0.2158844;1.128078,0.1065804;-0.175483;1.133136,-0.0243134;-0.01631243;1.190801,-0.1345008;0.1992514;1.228904,0.007220647;0.2305566;1.264974,0.006620395;-0.179022;1.413007,0
30,0.1383183;-0.2157524;1.127182,0.1024966;-0.1691684;1.134271,-0.02943029;-0.009600916;1.193145,-0.1344879;0.1989946;1.228844,0.006470892;0.2299412;1.264817,0.007662623;-0.1785124;1.414055,0
65,0.1409393;-0.2166112;1.126909,0.109154;-0.1739333;1.132441,-0.02321369;-0.0162085;1.191233,-0.1331656;0.200266;1.230492,0.005898174;0.229559;1.265027,0.008570499;-0.1778083;1.415248,0
95,0.1435782;-0.2152698;1.127437,0.1126226;-0.174193;1.131718,-0.02153308;-0.01795372;1.190664,-0.1323006;0.2011325;1.231527,0.005141989;0.2292184;1.265592,0.006404532;-0.1750424;1.418945,0
131,0.1441508;-0.2111165;1.124588,0.114973;-0.1740154;1.129887,-0.02078509;-0.01914085;1.189043,-0.1322276;0.1996063;1.230262,0.006590938;0.2303437;1.266154,0.006861445;-0.1749654;1.419,0
165,0.1780285;-0.2411195;1.098626,0.1508436;-0.2007114;1.115449,-0.02072592;-0.01975113;1.188114,-0.1322075;0.1990603;1.229902,0.006054597;0.2300028;1.26621,0.006942475;-0.1748809;1.419134,0
198,0.1584261;-0.2109829;1.113389,0.1250399;-0.1674653;1.119301,-0.01900778;-0.02236632;1.184742,-0.1313481;0.1999702;1.230566,0.005807707;0.2298518;1.266156,0.007263998;-0.1747315;1.41911,0
230,0.1586064;-0.2062663;1.110613,0.1253953;-0.1679173;1.118482,-0.01904316;-0.02265145;1.182817,-0.1306313;0.2005931;1.230824,0.005523005;0.2295931;1.266077,0.007376181;-0.1746259;1.418955,0
264,0.1612383;-0.202876;1.103181,0.1252798;-0.1675114;1.114632,-0.01903549;-0.0228974;1.181247,-0.1300066;0.2011226;1.231029,0.005392863;0.2293839;1.266072,0.007490311;-0.1745785;1.418762,0
297,0.1648085;-0.1955532;1.091785,0.120038;-0.1559208;1.110719,-0.04615015;0.003701135;1.17846,-0.1297112;0.1994107;1.228999,0.005216217;0.2292028;1.266135,0.006390044;-0.1737224;1.419636,0
330,0.167108;-0.1816886;1.078211,0.1170453;-0.1478651;1.106014,-0.04566511;0.002857912;1.178424,-0.1295723;0.1985554;1.228277,0.005103243;0.2290428;1.266182,0.005679617;-0.1738885;1.419228,0
364,0.1931713;-0.198108;1.056851,0.1370726;-0.159296;1.086136,-0.01639271;-0.01972125;1.168148,-0.1289715;0.1971216;1.226253,0.005045605;0.2288648;1.265958,0.005737316;-0.1736849;1.419373,0
398,0.2173052;-0.2035626;1.046123,0.1315195;-0.1528121;1.084353,-0.01595311;-0.01956777;1.168148,-0.1285832;0.1964136;1.225517,0.005027354;0.2287422;1.265973,0.005812012;-0.1731747;1.420142,0
431,0.2180539;-0.1997072;1.035576,0.141134;-0.166379;1.081568,-0.02087048;-0.002567656;1.171629,-0.1284036;0.1961128;1.225309,0.005084456;0.2286319;1.265993,0.005961393;-0.1732365;1.420088,0
464,0.2171157;-0.1982877;1.022836,0.1500663;-0.1748141;1.072896,-0.01312938;-0.009636952;1.170939,-0.1274243;0.1975628;1.2267,0.005167097;0.2284748;1.266064,0.006167582;-0.1726118;1.420846,0
495,0.215333;-0.2020931;1.018424,0.1522893;-0.1796995;1.070774,-0.009426776;-0.01174411;1.171834,-0.1270672;0.1970567;1.226526,0.005300144;0.2281372;1.26649,0.006124233;-0.1727448;1.420893,0
531,0.2117346;-0.2060939;1.013036,0.1462001;-0.1708482;1.070524,0.01046334;-0.03004501;1.161923,-0.1269078;0.1968666;1.226425,0.005349134;0.2278958;1.266852,0.005935497;-0.1719543;1.422969,0
564,0.2076959;-0.2105804;1.009443,0.1480964;-0.1717422;1.071027,0.01172466;-0.03107079;1.161589,-0.1261836;0.1979503;1.227309,0.005492359;0.227538;1.266626,0.006508931;-0.1742733;1.41923,0
