Time_Stamp,Accel,Gyro,SpineShoulder,ShoulderRight,ElbowRight,WristRight,SpineBase,TrimmingId
0,-528;6504;14448,1190;-560;-819,-0.07088047;0.01757194;1.201038,0.09361505;-0.004732364;1.198761,0.1594463;-0.2176843;1.216669,0.1610055;-0.2570612;0.9814613,-0.05473738;-0.4508796;1.275215,0
39,-604;6660;14332,1229;-771;-954,-0.07096054;0.01757424;1.200902,0.09355939;-0.004720198;1.198655,0.1591116;-0.2180852;1.216714,0.1649166;-0.2538309;1.004076,-0.05473024;-0.4508494;1.27516,0
91,-660;6808;14264,1124;-544;-879,-0.07103863;0.01766919;1.200981,0.09355409;-0.004723182;1.198654,0.1588337;-0.2188004;1.217152,0.1670958;-0.253603;1.016092,-0.05468316;-0.4507868;1.275231,0
100,-496;6604;14332,1048;-299;-833,-0.0710817;0.0176861;1.201037,0.09352135;-0.004713133;1.198637,0.1579988;-0.2202913;1.217692,0.1690865;-0.2523089;1.027869,-0.05462551;-0.4507213;1.275326,0
135,-588;6344;14224,1022;-451;-850,-0.07108174;0.01769971;1.201081,0.09350841;-0.004710285;1.198644,0.1579133;-0.2212703;1.21747,0.1705922;-0.2522905;1.029387,-0.05462556;-0.45072;1.275413,0
163,-680;6692;14348,1149;-397;-1008,-0.07106084;0.01771202;1.201089,0.09350771;-0.004709396;1.198647,0.1573;-0.2224658;1.217567,0.1712074;-0.2520572;1.029742,-0.0546342;-0.4507113;1.275422,0
197,-680;6520;14220,1236;-407;-965,-0.07118403;0.01775919;1.201213,0.0934926;-0.004706751;1.198636,0.156991;-0.2229392;1.217171,0.1731152;-0.251792;1.030634,-0.0546301;-0.4506977;1.275435,0
234,-464;6592;14344,1164;-412;-935,-0.07127044;0.01778776;1.201179,0.09347243;-0.004701947;1.198583,0.156711;-0.223272;1.216374,0.1529083;-0.2558496;0.9991286,-0.05449452;-0.4506503;1.275395,0
266,-628;6720;14300,1390;-370;-990,-0.07129905;0.01785543;1.201484,0.09381492;-0.004732513;1.199247,0.1564804;-0.223359;1.216357,0.1483635;-0.2685434;0.9946759,-0.05456374;-0.4506717;1.27548,0
301,-564;6500;14356,1131;-462;-889,-0.07135273;0.01791269;1.201567,0.09378417;-0.004709284;1.199241,0.1560407;-0.22343;1.216028,0.1404617;-0.381855;1.020185,-0.05469487;-0.4506095;1.275543,0
334,-516;6536;14284,1619;-491;-834,-0.0713758;0.01790892;1.201617,0.09375101;-0.004662738;1.199234,0.1557024;-0.2233015;1.216038,0.1591518;-0.2655433;0.9750689,-0.05473505;-0.4506001;1.275535,0
363,-644;6696;14416,1293;-304;-981,-0.07141855;0.01802981;1.202055,0.09366414;-0.004558362;1.199302,0.1554801;-0.2218534;1.216226,0.139195;-0.3819922;1.021876,-0.05478128;-0.4505388;1.275915,0
399,-580;6440;14464,1342;-533;-836,-0.0715589;0.01803933;1.202169,0.09362426;-0.004534125;1.199294,0.1547607;-0.2221786;1.215072,0.1582112;-0.2621927;1.001009,-0.05478521;-0.4505407;1.275913,0
430,-668;6680;14520,1516;-597;-976,-0.07156818;0.01803801;1.202243,0.09359804;-0.004520939;1.199288,0.1550104;-0.2201825;1.213832,0.1599745;-0.2623557;0.9903189,-0.05478142;-0.4505304;1.275923,0
467,-580;6852;14340,1163;-651;-961,-0.07163989;0.01803945;1.202206,0.09357175;-0.004514192;1.19925,0.1548917;-0.2200813;1.213546,0.1609794;-0.2621415;0.986911,-0.05485165;-0.4505041;1.275882,0
499,-576;6628;14396,1084;-463;-936,-0.07166424;0.01803183;1.202379,0.09352494;-0.00444012;1.199283,0.1548947;-0.2192384;1.213102,0.1623303;-0.2613891;0.9861752,-0.05487017;-0.4504909;1.275976,0
533,-628;6816;14304,1476;-784;-739,-0.07168667;0.01801836;1.202535,0.09349018;-0.004403282;1.199306,0.1547513;-0.218649;1.212777,0.16245;-0.2619984;0.985547,-0.05484997;-0.4505225;1.276082,0
564,-504;6944;14452,1519;-801;-746,-0.07177537;0.01799628;1.202315,0.09344408;-0.00441702;1.199198,0.1547119;-0.2171245;1.211516,0.1627083;-0.2617568;0.9853554,-0.0549552;-0.4505051;1.275839,0
598,-616;6852;14128,1496;-844;-772,-0.07183101;0.01803155;1.202582,0.09341491;-0.004395389;1.199221,0.1543609;-0.2179754;1.211211,0.1644759;-0.2609229;0.9842169,-0.05494151;-0.4505274;1.2759,0
631,-448;6768;14280,1291;-703;-829,-0.07180172;0.01804692;1.202648,0.09339778;-0.004384625;1.199227,0.1544667;-0.2175719;1.210925,0.1647473;-0.2611771;0.9835849,-0.05469844;-0.4505254;1.276079,0
664,-456;6916;14452,1189;-635;-961,-0.07179961;0.01804603;1.202647,0.09339116;-0.004359578;1.199247,0.1546084;-0.2171321;1.210206,0.1648887;-0.261396;0.9831055,-0.05470107;-0.4505285;1.276124,0
701,-440;6784;14236,1250;-641;-898,-0.07184879;0.01803607;1.202626,0.0933834;-0.004360497;1.199217,0.1546325;-0.2166476;1.209617,0.165578;-0.2607568;0.9828049,-0.05477624;-0.4504922;1.275969,0
731,-468;6808;14280,1269;-723;-855,-0.07186002;0.01806039;1.20267,0.0933763;-0.004359032;1.199221,0.1546857;-0.2163397;1.209515,0.165716;-0.2605979;0.9827797,-0.05483064;-0.450502;1.275965,0
766,-420;6876;14344,1483;-685;-904,-0.07180244;0.01805927;1.202734,0.09337791;-0.004342719;1.199238,0.1538106;-0.2194574;1.211608,0.1648348;-0.2641874;0.9773373,-0.05472258;-0.4504828;1.276054,0
799,-300;6912;14252,1090;-593;-989,-0.0718647;0.01806922;1.202841,0.09335658;-0.004375653;1.19926,0.1539253;-0.2181907;1.211558,0.164474;-0.2646844;0.9764202,-0.05472968;-0.4504913;1.276056,0
831,-400;6928;14152,1144;-426;-1086,-0.07179499;0.01802454;1.202852,0.09334873;-0.004369913;1.199247,0.1538675;-0.2185523;1.211354,0.1650798;-0.263127;0.9769917,-0.0547332;-0.4504952;1.276049,0
862,-384;6712;14312,1053;-452;-1003,-0.07178382;0.01799238;1.202856,0.09335207;-0.004363501;1.199236,0.153437;-0.2201311;1.211871,0.1441825;-0.3712412;1.009759,-0.05475777;-0.4504948;1.276006,0
901,-408;7012;14316,1275;-402;-1122,-0.07166709;0.01797339;1.203005,0.09336165;-0.00435006;1.199252,0.1533547;-0.2207809;1.212275,0.143908;-0.3730128;1.011044,-0.05466802;-0.4505068;1.276241,0
933,-296;6972;14240,1126;-318;-968,-0.07157259;0.01794457;1.203138,0.09336026;-0.0043551;1.199312,0.1526486;-0.2248283;1.214304,0.1649608;-0.2550299;0.9902626,-0.05473052;-0.4504454;1.276487,0
967,-364;6948;14392,1080;-304;-832,-0.07153883;0.01792225;1.203063,0.09336218;-0.004368568;1.199297,0.1527246;-0.22484;1.214476,0.1617209;-0.254071;1.013895,-0.05475865;-0.4504582;1.276432,0
1001,-416;6660;14416,1232;-480;-923,-0.07157218;0.01792517;1.202922,0.09336696;-0.004369128;1.199265,0.1526781;-0.2249464;1.214509,0.1509558;-0.2999227;0.9727576,-0.05475451;-0.450432;1.276363,0
1031,-400;6784;14100,1157;-581;-990,-0.0715514;0.01791728;1.202959,0.09336822;-0.004369153;1.199276,0.1529015;-0.2251475;1.215665,0.1536388;-0.286795;0.9701481,-0.05476377;-0.4504327;1.276387,0
1065,-520;7020;14224,1138;-393;-941,-0.07152113;0.01789304;1.202962,0.09336644;-0.004370745;1.199278,0.1530957;-0.2270504;1.217577,0.1723324;-0.2398967;0.9824815,-0.05477893;-0.4504378;1.276356,0
1099,-432;6648;14172,1109;-398;-866,-0.07158336;0.01789786;1.203005,0.0933668;-0.004372373;1.19928,0.1531771;-0.2270794;1.217974,0.1749295;-0.2508989;1.031293,-0.05479163;-0.4504524;1.276361,0
1133,-308;6756;14128,1167;-397;-982,-0.0716247;0.01798725;1.203116,0.09337278;-0.004372058;1.199291,0.1531878;-0.227834;1.219696,0.1754652;-0.247853;1.032614,-0.05479542;-0.4504541;1.276387,0
1166,-424;6780;14212,1104;-297;-1106,-0.07156266;0.01799118;1.203116,0.09337288;-0.004372899;1.19929,0.153343;-0.2280777;1.220761,0.1740738;-0.2465498;1.033328,-0.05473066;-0.4504576;1.276355,0
1201,-436;6988;14204,1221;-346;-981,-0.07151549;0.01798284;1.203151,0.09337391;-0.004376303;1.199287,0.1539197;-0.2275081;1.221522,0.1663024;-0.2427607;1.001355,-0.05470308;-0.4504628;1.276371,0
1231,-480;6852;14308,962;-265;-871,-0.07144892;0.01799471;1.203069,0.09404028;-0.004686614;1.199781,0.1552179;-0.2250647;1.221636,0.1656111;-0.243422;0.9978603,-0.05472316;-0.4504592;1.276337,0
1264,-488;6968;14404,1078;-291;-844,-0.07142755;0.01799951;1.202905,0.09400902;-0.004683751;1.199761,0.1556634;-0.2232584;1.221141,0.1612735;-0.2447411;0.9913837,-0.0547755;-0.4505177;1.27609,0
1298,-436;6844;14204,1075;-494;-872,-0.07139906;0.01798849;1.202884,0.09399283;-0.004659203;1.199742,0.1570584;-0.2212592;1.221997,0.1594844;-0.2454401;0.9897211,-0.05477327;-0.4505219;1.276039,0
1333,-532;7124;14228,1116;-366;-841,-0.07135995;0.01801538;1.202826,0.09397907;-0.004617078;1.19972,0.1580398;-0.2201826;1.221999,0.1579679;-0.2462844;0.9887785,-0.05477465;-0.4505194;1.276024,0
1365,-468;6688;14088,1037;-336;-767,-0.07132322;0.01804834;1.202677,0.09395946;-0.004584122;1.19962,0.1583045;-0.2191693;1.221863,0.1547258;-0.2481508;0.9852037,-0.05487325;-0.4505302;1.27575,0
1399,-524;6976;14440,982;-348;-828,-0.0713089;0.01806968;1.202659,0.09394857;-0.004553318;1.199604,0.1585616;-0.218116;1.222334,0.1533054;-0.2491475;0.9844957,-0.05499776;-0.4505187;1.275593,0
1431,-576;6728;14140,1303;-485;-812,-0.07129623;0.0180812;1.202667,0.09393585;-0.004543899;1.199593,0.1595428;-0.2163551;1.222468,0.1523774;-0.2499128;0.9842606,-0.05496776;-0.4505283;1.275583,0
1464,-568;6736;14140,1080;-425;-797,-0.07132892;0.01809828;1.202809,0.0939116;-0.00452414;1.199618,0.160579;-0.2142741;1.222166,0.1509009;-0.2512847;0.9842964,-0.05503716;-0.4505122;1.275872,0
1499,-548;6656;14424,1070;-280;-1036,-0.07131871;0.01810225;1.202755,0.09387153;-0.004510222;1.199583,0.1604302;-0.2135398;1.221907,0.1359026;-0.3591765;1.016957,-0.05510446;-0.4505376;1.275767,0
1531,-704;6824;14128,1143;-517;-958,-0.07131989;0.01809859;1.202741,0.09384749;-0.004501936;1.19957,0.1602751;-0.2131658;1.221738,0.1356954;-0.35963;1.017398,-0.05514256;-0.450564;1.275591,0
1565,-496;6836;13876,1520;-381;-1085,-0.0712736;0.01810348;1.202749,0.09383453;-0.004496814;1.19959,0.160882;-0.21206;1.221632,0.1357074;-0.3596437;1.018188,-0.0553331;-0.4506247;1.275542,0
1599,-684;6796;14324,960;-319;-1152,-0.07119974;0.01812935;1.202734,0.0938218;-0.004505367;1.199598,0.1607995;-0.211985;1.2222,0.1357133;-0.3598146;1.01893,-0.05532706;-0.4506244;1.275553,0
1632,-720;6812;14156,1610;-231;-1057,-0.07117963;0.01818101;1.203053,0.09376652;-0.004486493;1.199682,0.16033;-0.2120393;1.223182,0.1460893;-0.255594;0.9785742,-0.0554643;-0.4506696;1.275628,0
