Time_Stamp,Accel,Gyro,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
755,1860;-688;-17412,1169;-484;-1002,-0.2463942;-0.07072286;0.9718333,-0.2171424;-0.01464197;1.185829,-0.1635649;0.1965233;1.168807,0.007466418;0.2087308;1.137829,0.01367513;-0.2590457;1.307667,0
788,1696;-612;-17364,1143;-489;-987,-0.2469773;-0.07172158;0.9684668,-0.218318;-0.0148927;1.182345,-0.1635996;0.1964973;1.168782,0.007469021;0.2087552;1.137838,0.01386495;-0.2588916;1.307846,0
819,1828;-636;-17292,1136;-472;-1014,-0.2488465;-0.07517231;0.9599614,-0.2183514;-0.01484651;1.182568,-0.1636021;0.1964913;1.168721,0.007441274;0.2087576;1.137766,0.01356797;-0.25898;1.307665,0
854,1760;-620;-17260,1153;-472;-989,-0.2481985;-0.06955811;0.9713191,-0.2183328;-0.01442887;1.185471,-0.1636196;0.1964552;1.168656,0.007416631;0.208747;1.137697,0.01363125;-0.2590905;1.307533,0
887,1804;-712;-17176,1135;-485;-1004,-0.2479296;-0.06892657;0.9722307,-0.2186227;-0.01420106;1.186562,-0.1636579;0.196419;1.16859,0.007389022;0.2087435;1.137637,0.01372665;-0.2591088;1.307461,0
919,1860;-592;-17304,1157;-473;-1009,-0.2477194;-0.0691422;0.9722295,-0.2192266;-0.01405492;1.186577,-0.163655;0.1963932;1.168599,0.007407995;0.2087648;1.137683,0.01396073;-0.2590717;1.307625,0
954,1748;-716;-17224,1169;-459;-1011,-0.2473435;-0.06917331;0.9720432,-0.2193008;-0.01409317;1.186451,-0.1636894;0.1963642;1.168611,0.007411101;0.2087659;1.137675,0.01416032;-0.259104;1.3076,0
988,1796;-564;-17360,1162;-468;-996,-0.2466928;-0.06817234;0.9721362,-0.2194542;-0.01408469;1.186902,-0.1637187;0.1962529;1.168583,0.00740792;0.2087853;1.137661,0.01435108;-0.2591724;1.307576,0
1019,1796;-516;-17256,1159;-489;-1013,-0.2454634;-0.0660433;0.9723372,-0.2194925;-0.01395396;1.187757,-0.1636964;0.1962051;1.168522,0.007347174;0.2087926;1.137586,0.01439255;-0.2592582;1.307445,0
1054,1736;-628;-17368,1155;-479;-992,-0.2411855;-0.06969824;0.9724996,-0.2194356;-0.01403786;1.187493,-0.1636859;0.1961755;1.168509,0.007317958;0.2088168;1.137529,0.01441598;-0.2592949;1.307391,0
1086,1716;-668;-17476,1169;-440;-1000,-0.2464082;-0.06286431;0.9685851,-0.2187034;-0.01477651;1.184719,-0.1636585;0.1960911;1.168489,0.007315623;0.2088468;1.137513,0.01430378;-0.2594123;1.307314,0
1119,1832;-672;-17208,1163;-488;-981,-0.2442118;-0.06571356;0.9672508,-0.2173224;-0.01542739;1.182985,-0.16367;0.1960939;1.168535,0.007313971;0.2089303;1.137605,0.01526518;-0.2589606;1.308111,0
1152,1684;-600;-17324,1166;-481;-1005,-0.2475624;-0.07122245;0.9506031,-0.2126951;-0.01870761;1.164652,-0.1636021;0.1958677;1.168346,0.007266149;0.2089164;1.137372,0.01535669;-0.2590933;1.307908,0
1186,1764;-688;-17248,1145;-468;-984,-0.2469796;-0.07356836;0.9511503,-0.2123248;-0.01884385;1.164676,-0.1635289;0.1958102;1.168503,0.00724802;0.2090224;1.137509,0.01509211;-0.259203;1.307922,0
1220,1768;-552;-17280,1139;-504;-996,-0.2266317;-0.05603706;1.014297,-0.2172315;-0.02630693;1.142153,-0.1635303;0.1956733;1.168348,0.007271084;0.209033;1.137388,0.01536731;-0.2592951;1.307687,0
1254,1716;-684;-17208,1147;-506;-995,-0.2266868;-0.05475683;1.014684,-0.2115356;-0.02331409;1.152343,-0.1635104;0.1956649;1.168363,0.007263247;0.209062;1.137396,0.0151531;-0.2594386;1.307551,0
1286,1708;-556;-17388,1132;-505;-996,-0.250205;-0.06961414;0.9540232,-0.2083063;-0.01987025;1.167461,-0.163432;0.1954836;1.1681,0.007277301;0.2090376;1.137153,0.01525019;-0.2595994;1.307062,0
1319,1732;-552;-17504,1137;-480;-994,-0.2661873;-0.05898468;0.96285,-0.2072778;-0.0194751;1.17435,-0.1634038;0.1954787;1.168124,0.007257364;0.2090698;1.13717,0.01499151;-0.2597506;1.306999,0
1353,1748;-548;-17368,1187;-475;-996,-0.2596686;-0.05679346;0.9840222,-0.200777;-0.0174304;1.195537,-0.1633818;0.1954514;1.16815,0.007234092;0.2090959;1.137185,0.0150074;-0.2597874;1.306964,0
1387,1760;-512;-17332,1149;-480;-1022,-0.2582007;-0.05721982;0.9913757,-0.1980869;-0.01640857;1.202257,-0.1633753;0.1954183;1.168175,0.007243088;0.2091266;1.137209,0.01525779;-0.2597707;1.307076,0
1421,1820;-664;-17376,1157;-454;-988,-0.2573451;-0.05738134;0.9940889,-0.1967851;-0.01602373;1.204729,-0.1633518;0.1953858;1.168138,0.007237222;0.2091358;1.137201,0.01479083;-0.2600009;1.306805,0
1453,1780;-652;-17268,1171;-457;-1001,-0.2551861;-0.05631614;1.001761,-0.1927255;-0.01478729;1.211797,-0.1633108;0.1952611;1.168016,0.007190611;0.2091815;1.137145,0.01467906;-0.2600707;1.306653,0
1486,1884;-644;-17240,1139;-457;-1004,-0.2548323;-0.0567245;1.003823,-0.192052;-0.01437407;1.213593,-0.1633094;0.1952524;1.168094,0.007185482;0.209201;1.137161,0.01472395;-0.2600922;1.306664,0
1518,1744;-632;-17284,1146;-500;-999,-0.2781893;-0.07256984;0.9379283,-0.2111262;-0.02640254;1.145576,-0.1632851;0.1952022;1.168,0.007170244;0.2091942;1.137071,0.01481399;-0.2600909;1.306585,0
1553,1792;-688;-17360,1151;-470;-1005,-0.2583915;-0.05966862;0.9916052,-0.1980463;-0.01667962;1.201975,-0.1633225;0.1952074;1.168179,0.007208944;0.2092442;1.137267,0.01538229;-0.2597328;1.307226,0
1587,1672;-548;-17308,1154;-444;-998,-0.2395291;-0.06100444;1.014709,-0.2111648;-0.02737554;1.150463,-0.1632963;0.1952256;1.168175,0.00716477;0.2093547;1.137361,0.01548339;-0.2596259;1.307362,0
1621,1780;-608;-17412,1156;-488;-995,-0.2536515;-0.05639004;1.006878,-0.1914202;-0.01357688;1.216714,-0.1633406;0.1951794;1.16817,0.007090256;0.2093889;1.137298,0.01547587;-0.2596568;1.307279,0
1656,1824;-596;-17288,1151;-488;-994,-0.2557989;-0.05780733;1.000144,-0.1939727;-0.01526707;1.210159,-0.1633452;0.1950741;1.168054,0.00705326;0.2094272;1.137288,0.01559165;-0.2595891;1.307253,0
1686,1788;-572;-17384,1161;-499;-1003,-0.2580718;-0.05959735;0.9931268,-0.1980526;-0.01634781;1.20353,-0.1634085;0.1951741;1.168249,0.00693356;0.2096215;1.137607,0.01561641;-0.2595091;1.307543,0
1719,1744;-592;-17272,1146;-475;-1023,-0.2581236;-0.0596434;0.9930622,-0.1980331;-0.01638483;1.20344,-0.1634313;0.1951629;1.168245,0.006860749;0.2096557;1.137658,0.01562028;-0.259509;1.307544,0
1752,1752;-604;-17184,1151;-486;-1009,-0.274456;-0.07049081;0.9428596,-0.2128447;-0.02757763;1.152898,-0.1634646;0.1951532;1.168312,0.006827221;0.2097707;1.137809,0.01563713;-0.2593575;1.307853,0
1785,1800;-620;-17304,1147;-479;-998,-0.2546928;-0.05678932;1.006201,-0.1885775;-0.01463827;1.214957,-0.1634877;0.1951355;1.168305,0.006802374;0.2098084;1.137844,0.01564287;-0.2593563;1.307859,0
1819,1808;-552;-17136,1151;-502;-987,-0.2664677;-0.06574959;0.9667076,-0.2061891;-0.02005796;1.176527,-0.1634529;0.1948201;1.167707,0.006768019;0.2098517;1.137518,0.01567972;-0.2595067;1.307178,0
1856,1744;-616;-17260,1142;-476;-1003,-0.2661857;-0.06553145;0.9674879,-0.2061629;-0.01994426;1.177404,-0.1634692;0.194834;1.167692,0.006736015;0.2098651;1.137499,0.01561497;-0.2595454;1.307104,0
1888,1732;-580;-17480,1144;-460;-1004,-0.2597243;-0.05965625;0.9903219,-0.1941433;-0.01823596;1.199404,-0.1635264;0.1947259;1.167263,0.006493733;0.2096634;1.136863,0.01558059;-0.2596034;1.306619,0
1919,1776;-580;-17448,1150;-473;-996,-0.2588621;-0.05914567;0.9927393,-0.1945494;-0.01756633;1.202184,-0.1636039;0.1947299;1.167546,0.006345504;0.2097248;1.137007,0.01523094;-0.2596127;1.306937,0
1954,1800;-540;-17300,1173;-474;-996,-0.2580448;-0.05843181;0.9946594,-0.1935883;-0.01726715;1.204139,-0.1636125;0.1945724;1.167133,0.006153131;0.2096178;1.136648,0.01520952;-0.2596938;1.306591,0
1986,1848;-524;-17488,1159;-463;-1006,-0.2591483;-0.05861473;0.9915432,-0.19577;-0.01762087;1.201389,-0.1636192;0.1944893;1.166806,0.005981801;0.2095682;1.136237,0.01525837;-0.2597076;1.306384,0
2018,1772;-660;-17192,1158;-474;-1016,-0.2586735;-0.05804376;0.9930725,-0.1949654;-0.01741629;1.202886,-0.1636578;0.1944415;1.166779,0.005892923;0.2095399;1.136178,0.01518349;-0.2597649;1.306272,0
2056,1744;-604;-17384,1141;-486;-986,-0.2591393;-0.06152977;0.985342,-0.1999434;-0.01826481;1.195965,-0.1637079;0.1944474;1.16699,0.00577347;0.209597;1.136368,0.01520216;-0.2597633;1.306444,0
2087,1832;-600;-17232,1148;-464;-1001,-0.2582039;-0.06029228;0.9887885,-0.1988015;-0.01771207;1.199489,-0.1637571;0.1944007;1.166993,0.005755159;0.2096;1.136382,0.01525904;-0.2597595;1.306465,0
2118,1724;-688;-17364,1132;-484;-1013,-0.2563444;-0.05913265;0.9937301,-0.2064797;-0.01443248;1.206479,-0.1638298;0.1943576;1.167037,0.005670401;0.2095775;1.136403,0.01523711;-0.2598288;1.306448,0
2153,1664;-556;-17420,1157;-492;-1029,-0.2559524;-0.05881255;0.9947729,-0.2089982;-0.01347315;1.208055,-0.1638679;0.1942771;1.166938,0.00564738;0.2095361;1.136322,0.01563052;-0.2596619;1.306554,0
2192,1712;-600;-17364,1174;-456;-1016,-0.2538626;-0.06050015;0.9917373,-0.2046331;-0.01543359;1.204561,-0.163898;0.1942648;1.166941,0.005637723;0.2095276;1.13632,0.01552006;-0.2596901;1.306569,0
2218,1824;-696;-17340,1153;-475;-978,-0.2537799;-0.05976934;0.9934692,-0.2033687;-0.01536256;1.206152,-0.1640055;0.194276;1.167279,0.005600648;0.2095344;1.136463,0.01533939;-0.2597248;1.30673,0
