Time_Stamp,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
766,-0.1136559;-0.08607366;1.462625,0.04596753;-0.123221;1.421543,-0.05355354;-0.2999978;1.285013,-0.2024243;-0.4027701;1.172145,-0.2426631;-0.4561902;1.134644,-0.09375673;-0.5246419;1.391822,0
801,-0.1137325;-0.08607776;1.462491,0.04534404;-0.1230873;1.420609,-0.05553751;-0.3007855;1.283703,-0.2051524;-0.4027933;1.171159,-0.2588809;-0.4459808;1.104663,-0.0935463;-0.5245869;1.39166,0
831,-0.1139838;-0.0859722;1.462117,0.0446201;-0.1231339;1.41911,-0.0576851;-0.3019264;1.282653,-0.2461419;-0.4270834;1.104278,-0.2630645;-0.4441622;1.09559,-0.09357512;-0.5245616;1.391608,0
864,-0.1141023;-0.08598589;1.462077,0.04425944;-0.123259;1.418558,-0.05940163;-0.3034303;1.282932,-0.2472028;-0.4279078;1.103362,-0.2761959;-0.4574902;1.082807,-0.09365101;-0.5245535;1.391612,0
901,-0.1142804;-0.08592331;1.461904,0.04393044;-0.1232612;1.417946,-0.06090194;-0.3045021;1.283318,-0.2474331;-0.4285998;1.102119,-0.2720932;-0.4636536;1.083127,-0.0936697;-0.5245561;1.391616,0
931,-0.1144668;-0.08596819;1.461461,0.04332376;-0.123402;1.416689,-0.0682767;-0.3117788;1.279007,-0.2530082;-0.4345909;1.095063,-0.2709125;-0.4738744;1.086539,-0.09519267;-0.5245615;1.392086,0
967,-0.1147364;-0.08595405;1.461073,0.04260536;-0.1237834;1.414847,-0.0681219;-0.3122688;1.280059,-0.2517049;-0.4357986;1.095432,-0.2682987;-0.4849373;1.093565,-0.09606137;-0.524635;1.392452,0
999,-0.1148917;-0.08608177;1.460461,0.04209328;-0.123634;1.413665,-0.0699017;-0.315543;1.279233,-0.2522039;-0.4385982;1.093891,-0.2656626;-0.4955066;1.093844,-0.09611682;-0.5246891;1.392544,0
1032,-0.115161;-0.0862423;1.45953,0.04155086;-0.1234013;1.41192,-0.02838271;-0.3022251;1.312465,-0.1550636;-0.4181053;1.185183,-0.1670798;-0.4550174;1.197651,-0.09618099;-0.5247775;1.392567,0
1064,-0.1153335;-0.08630618;1.458859,0.04091886;-0.1231791;1.409712,-0.07363833;-0.3302492;1.274068,-0.1966464;-0.4510198;1.148321,-0.2083322;-0.4943223;1.146015,-0.09614506;-0.5248958;1.392602,0
1100,-0.1155656;-0.08634701;1.45849,0.04048051;-0.1227336;1.40857,-0.07357187;-0.3302675;1.274068,-0.1965768;-0.4510345;1.148324,-0.208786;-0.4946688;1.146645,-0.09605987;-0.525041;1.392761,0
1131,-0.1158472;-0.08636235;1.457837,0.04009447;-0.1220712;1.407156,-0.07344285;-0.3302846;1.273865,-0.1964452;-0.4510479;1.148125,-0.2083335;-0.4936829;1.145183,-0.09595422;-0.5250918;1.392795,0
1165,-0.1160815;-0.08651668;1.456852,0.03971776;-0.1219898;1.405983,-0.07329129;-0.3301725;1.273664,-0.1962912;-0.4509328;1.147927,-0.2080146;-0.4927632;1.144887,-0.09588602;-0.5251774;1.39268,0
1201,-0.1162594;-0.08652402;1.456713,0.03962952;-0.1219787;1.405847,-0.02762574;-0.3031709;1.309271,-0.1468657;-0.4240981;1.179468,-0.1558129;-0.4519064;1.199503,-0.09582232;-0.5253242;1.392752,0
1231,-0.1165154;-0.08656994;1.456625,0.03958984;-0.1219587;1.405802,-0.07189342;-0.3302604;1.272114,-0.1875104;-0.4562013;1.144405,-0.208554;-0.4792485;1.13631,-0.09572726;-0.5254324;1.392769,0
1265,-0.116752;-0.08663694;1.456553,0.03957582;-0.1219935;1.405795,-0.024362;-0.3051341;1.310923,-0.1478118;-0.4213863;1.180715,-0.2025135;-0.497385;1.144747,-0.09570835;-0.5255301;1.392816,0
1300,-0.1169241;-0.08673849;1.456558,0.03957584;-0.122064;1.405872,-0.02440303;-0.3051479;1.310907,-0.1480542;-0.4212144;1.180723,-0.1416289;-0.399814;1.207474,-0.09567343;-0.5256498;1.392972,0
1331,-0.1171254;-0.08689698;1.456561,0.03956125;-0.1221009;1.406288,-0.0241848;-0.3051656;1.311105,-0.1496595;-0.4199528;1.181554,-0.1435418;-0.3981115;1.208507,-0.095724;-0.5258222;1.393115,0
