Time_Stamp,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
797,-0.0100326;-0.4120325;1.306161,-0.009713809;-0.3638009;1.326645,0.1241831;-0.1547119;1.385475,0.05596388;-0.01944312;1.511021,0.2174408;0.01623116;1.537248,0.2222455;-0.4401097;1.485614,0
833,-0.01070002;-0.4129166;1.303909,-0.009248353;-0.3633223;1.322814,0.1245448;-0.15509;1.385493,0.05636971;-0.01926446;1.510407,0.217774;0.01618959;1.537182,0.2225562;-0.4401;1.486054,0
868,-0.02166299;-0.420844;1.27776,-0.009443549;-0.3634637;1.320519,0.1245044;-0.1554571;1.383724,0.0569108;-0.01892537;1.508913,0.2186105;0.01237304;1.532363,0.2227072;-0.4404618;1.485918,0
898,-0.01040443;-0.41273;1.300057,-0.009884848;-0.3635575;1.318978,0.1247594;-0.1562483;1.383169,0.05711447;-0.01879427;1.508553,0.2188755;0.01148987;1.532119,0.22281;-0.4406629;1.48601,0
931,-0.008995556;-0.4109609;1.301029,-0.01073251;-0.3651878;1.321867,0.1242777;-0.1573439;1.382946,0.0573;-0.01874899;1.508113,0.219183;0.01194741;1.53248,0.2228443;-0.4406479;1.486076,0
968,-0.01238938;-0.4104458;1.29643,-0.01237392;-0.3659542;1.321344,0.1198787;-0.1560315;1.380994,0.05749799;-0.0186193;1.507357,0.2193555;0.01222034;1.532552,0.2228461;-0.4406402;1.486075,0
999,-0.06650843;-0.4525806;1.245944,-0.01417172;-0.3749541;1.318953,0.1264741;-0.1695324;1.374195,0.05762237;-0.0184609;1.50719,0.2196854;0.01134179;1.532264,0.2229277;-0.4406683;1.486093,0
1033,-0.01842389;-0.4189111;1.288261,-0.01376493;-0.3766032;1.318685,0.127327;-0.1713128;1.373093,0.05771167;-0.01832535;1.507049,0.219767;0.01068892;1.532084,0.2229702;-0.4407327;1.48621,0
1063,-0.02112784;-0.4191548;1.284986,-0.01432581;-0.379327;1.317254,0.132089;-0.1769179;1.367587,0.05774781;-0.01819899;1.506839,0.2196421;0.01012286;1.531429,0.2229476;-0.4408196;1.486236,0
1100,-0.02031829;-0.4187376;1.291903,-0.01314219;-0.374621;1.320743,0.1269146;-0.1696074;1.379503,0.05775831;-0.01814535;1.506828,0.2196221;0.009858092;1.531505,0.2229316;-0.4408464;1.48638,0
1131,-0.01610403;-0.4131749;1.295134,-0.01074445;-0.3670987;1.323013,0.1224381;-0.1582117;1.384555,0.0577147;-0.0181758;1.506377,0.219652;0.01070821;1.531934,0.2228721;-0.4407017;1.486597,0
1165,-0.01741498;-0.4162931;1.299049,-0.01070342;-0.3659269;1.320207,0.1233989;-0.158616;1.385617,0.05771147;-0.01817807;1.506341,0.2198573;0.01186613;1.53315,0.2230473;-0.4405991;1.486897,0
1201,-0.01669265;-0.4143431;1.298504,-0.01069255;-0.3657632;1.321998,0.1243057;-0.1586678;1.386018,0.05768101;-0.01820073;1.506124,0.2199042;0.01248892;1.533564,0.2230616;-0.4404238;1.48727,0
1232,-0.01647742;-0.4142176;1.298971,-0.01028122;-0.3651422;1.322046,0.1254099;-0.1586518;1.386659,0.05765168;-0.01812758;1.505977,0.2199108;0.01303188;1.533892,0.2230702;-0.4402561;1.487529,0
1268,-0.01414811;-0.4138983;1.29951,-0.009571783;-0.3643393;1.322148,0.1269554;-0.1585875;1.387512,0.05763106;-0.01803898;1.50579,0.2199266;0.0134826;1.534097,0.2231224;-0.440184;1.487644,0
1298,-0.01391885;-0.4127459;1.298634,-0.009538128;-0.3643627;1.322101,0.127231;-0.1589714;1.388146,0.05759998;-0.01793814;1.505565,0.2198862;0.01382911;1.53418,0.2232227;-0.4400551;1.487755,0
1338,-0.01358145;-0.4129163;1.299687,-0.009318105;-0.3639265;1.321475,0.127981;-0.1592155;1.388726,0.05759119;-0.01789215;1.505249,0.2198646;0.01417735;1.534259,0.2232966;-0.4399316;1.487873,0
1365,-0.01163776;-0.4130273;1.299849,-0.00910177;-0.3638522;1.321522,0.1286432;-0.1596013;1.389354,0.0576076;-0.01788877;1.504908,0.2198844;0.01438156;1.534287,0.2234257;-0.4398075;1.487988,0
1399,-0.01152148;-0.4132358;1.3007,-0.008866804;-0.3636115;1.321189,0.1292583;-0.1598622;1.389892,0.05764487;-0.01783648;1.504615,0.2199189;0.01460934;1.534342,0.2235298;-0.4397161;1.488074,0
1430,-0.01139151;-0.4121784;1.299478,-0.008739822;-0.3635486;1.321204,0.1295965;-0.1599243;1.389853,0.05768732;-0.01770861;1.504107,0.2199182;0.01476672;1.534312,0.2235438;-0.4396818;1.488115,0
1464,-0.01157336;-0.4124872;1.299278,-0.008795957;-0.3637132;1.321012,0.1297408;-0.1602153;1.389628,0.05780597;-0.01766251;1.503397,0.2199095;0.01491786;1.534262,0.2235805;-0.4396638;1.488166,0
1500,-0.01105227;-0.4123486;1.299189,-0.008726537;-0.3637439;1.320974,0.1300476;-0.1603647;1.38945,0.05793967;-0.01754881;1.502728,0.2199236;0.0150561;1.534215,0.2235879;-0.4396574;1.488199,0
1533,-0.01166582;-0.4114587;1.295865,-0.008461967;-0.3633564;1.31875,0.1302807;-0.1604924;1.389077,0.05808055;-0.01746331;1.501991,0.2199622;0.01519593;1.53408,0.223709;-0.4396585;1.488028,0
1570,-0.009276636;-0.4115903;1.296282,-0.008415935;-0.3634111;1.318428,0.1303495;-0.1606306;1.388984,0.05815123;-0.01739858;1.501612,0.2199642;0.01533718;1.534006,0.2237399;-0.4396178;1.488018,0
1598,-0.008315901;-0.4127707;1.299823,-0.008454007;-0.3635344;1.318712,0.1304002;-0.1608209;1.389284,0.05815295;-0.01738892;1.501591,0.2199782;0.01540367;1.534033,0.2237962;-0.4395326;1.488128,0
1634,-0.008774601;-0.4115812;1.297391,-0.008466921;-0.3635547;1.318641,0.1303688;-0.1608394;1.389247,0.05813245;-0.01737167;1.501512,0.2199843;0.0155003;1.533986,0.223902;-0.4394512;1.488022,0
1664,-0.009763428;-0.4120936;1.299422,-0.009139501;-0.3649192;1.32281,0.1299234;-0.1612467;1.389519,0.05812934;-0.01736328;1.501506,0.2199845;0.01556449;1.533992,0.2239081;-0.4394369;1.488037,0
1697,-0.01194199;-0.4119894;1.300365,-0.009506959;-0.3655314;1.324268,0.1297005;-0.1616988;1.390013,0.05812559;-0.01736476;1.501507,0.2199668;0.01561533;1.534012,0.223909;-0.4394245;1.488055,0
