Time_Stamp,Accel,Gyro,SpineShoulder,ShoulderRight,ElbowRight,WristRight,SpineBase,TrimmingId
2900,-1436;11000;11468,1407;-357;-827,-0.1058064;-0.1015709;1.426976,0.0772244;-0.139532;1.445001,0.1674777;-0.3426719;1.463068,0.1190433;-0.376103;1.179654,-0.08927557;-0.539221;1.373467,1
2935,-1440;10920;11328,1123;-370;-1052,-0.1057645;-0.1015816;1.42669,0.07719339;-0.139605;1.444737,0.1674247;-0.3425488;1.462869,0.1190795;-0.3763816;1.179488,-0.08896895;-0.5392476;1.372493,1
2967,-1532;10976;11452,954;-329;-1051,-0.1057756;-0.1015883;1.426696,0.07719667;-0.139591;1.444748,0.167419;-0.3425443;1.462899,0.1189173;-0.3773134;1.179659,-0.08889671;-0.5392307;1.37233,1
3000,-1404;10936;11464,1220;-559;-885,-0.1057851;-0.1015872;1.426687,0.07720772;-0.1394791;1.444777,0.1674913;-0.3425566;1.462907,0.125158;-0.363014;1.209055,-0.08885428;-0.5391748;1.372177,1
3033,-1408;11044;11192,1404;-475;-1085,-0.1057671;-0.1015821;1.42669,0.07720919;-0.1394805;1.444773,0.1673051;-0.342491;1.46306,0.1180239;-0.3816206;1.180529,-0.08806652;-0.538576;1.372629,1
3066,-1492;10944;11364,1470;-511;-940,-0.1057555;-0.1015669;1.426335,0.07712211;-0.1395627;1.444385,0.1675016;-0.3425066;1.462559,0.1180355;-0.3814565;1.180036,-0.08805035;-0.538284;1.372779,1
3099,-1360;11092;11140,1036;-396;-1067,-0.1057636;-0.1015856;1.426356,0.07714505;-0.1395444;1.444465,0.1677188;-0.342498;1.462531,0.1183354;-0.3813463;1.179979,-0.08847839;-0.5383403;1.372641,1
3135,-1384;11140;11344,1174;-354;-914,-0.1058776;-0.1016072;1.426612,0.07713274;-0.1395402;1.444756,0.1677843;-0.342485;1.46294,0.1184127;-0.3813456;1.180387,-0.08851113;-0.5383902;1.372591,1
3166,-1416;11136;11428,1424;-359;-864,-0.106007;-0.1016019;1.42691,0.07713997;-0.1395366;1.445004,0.1677075;-0.342657;1.46348,0.1330956;-0.3660748;1.246191,-0.08922245;-0.538565;1.372975,1
3198,-1380;11152;11200,1331;-346;-836,-0.1060113;-0.1016049;1.42695,0.07713636;-0.1395087;1.445012,0.167721;-0.3426726;1.463494,0.1191469;-0.3817261;1.180831,-0.08928297;-0.5385766;1.372983,1
