U11,U1A,U1B,,,,,exclude
U21,U2A,U2B,U2C,U2D,U2E,U2F,sfma6
U31,U3A,U3B,U3C,,,,sfma5
U41,U4A,,,,,,exclude
U42,U4B,,,,,,exclude
U43,U4C,,,,,,sfma3
U51,U5A,,,,,,exclude
U52,U5B,,,,,,sfma1
U53,U5C,,,,,,exclude
U61,U6A,,,,,,exclude
U71,U7A,,,,,,exclude
U72,U7B,,,,,,sfma4
U73,U7C,,,,,,exclude
U74,U7D,,,,,,exclude
U75,U7E,,,,,,exclude
U81,U8A,,,,,,exclude
U82,U8B,,,,,,exclude
U83,U8C,,,,,,exclude
U84,U8D,,,,,,sfma2
U85,U8E,,,,,,exclude
U86,U8F,,,,,,exclude
U87,U8G,,,,,,exclude
U91,U9A,U9B,U9C,,,,exclude
L11,L1A,L1B,,,,,exclude
L21,L2A,L2B,L2C,,,,exclude
L22,L2D,L2E,L2F,L2G,,,exclude
L31,L3A,,,,,,exclude
L32,L3B,,,,,,exclude
L41,L4A,,,,,,exclude
L42,L4B,,,,,,exclude
L51,L5A,,,,,,exclude
L61,L6A,L6B,L6C,,,,exclude
