Time_Stamp,Flex,Accel,Gyro,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
0,331,-1028;14884;-9464,1037;-608;-1829,-0.09342257;-0.09535062;1.442852,0.06843966;-0.131313;1.42166,0.1187771;-0.3277346;1.354485,0.07547043;-0.3802759;1.12193,0.003152088;-0.3886726;1.07501,-0.1050459;-0.5260087;1.374983,0
32,328,-1060;14332;-9232,855;-413;-1071,-0.09351006;-0.09527043;1.443231,0.06744697;-0.1308211;1.422292,0.1187264;-0.3271235;1.355115,0.07446525;-0.3944964;1.154809,-0.002061543;-0.3903692;1.079884,-0.1050208;-0.5260051;1.374977,0
65,330,-1136;13592;-8620,966;-344;-905,-0.09352329;-0.09525231;1.443242,0.06955489;-0.1315201;1.421761,0.1189985;-0.3282265;1.354817,0.06889218;-0.3880306;1.104261,0.00334732;-0.3882017;1.075457,-0.1050174;-0.5260066;1.374977,0
99,331,-1256;13448;-8448,1367;-516;-1162,-0.09362154;-0.095199;1.443124,0.06840569;-0.1310542;1.421836,0.1188712;-0.3274517;1.354686,0.06954793;-0.3884448;1.103129,0.004301714;-0.3868671;1.073101,-0.1049882;-0.5260357;1.374974,0
134,330,-976;13780;-8884,1078;-600;-1338,-0.09367768;-0.09514541;1.44319,0.07035731;-0.1320243;1.421812,0.1191459;-0.3287483;1.354346,0.06968748;-0.3885027;1.101943,0.00386617;-0.3882565;1.076482,-0.1050454;-0.5259673;1.374982,0
166,329,-1228;13856;-8920,1077;-487;-1311,-0.09368597;-0.09513663;1.443198,0.06877375;-0.1311591;1.422363,0.1188511;-0.3275079;1.354672,0.072437;-0.3851914;1.11228,0.003531092;-0.387991;1.075431,-0.1050275;-0.5259787;1.374972,0
198,329,-1140;13796;-8904,946;-376;-1201,-0.09371391;-0.09510477;1.443159,0.06777597;-0.1306383;1.422418,0.1186278;-0.3267572;1.354589,0.08283941;-0.3966514;1.153466,0.001127569;-0.3873594;1.072966,-0.1050463;-0.5259334;1.374978,0
232,331,-1112;13816;-8836,859;-342;-1235,-0.09372089;-0.09507807;1.443128,0.06693837;-0.1301566;1.42253,0.1184669;-0.3262058;1.354549,-0.0126335;-0.3556004;1.098587,-0.01140665;-0.3864107;1.073799,-0.10507;-0.5258482;1.375,0
266,330,-1156;13820;-8708,966;-334;-1209,-0.09376055;-0.09502174;1.44319,0.06619611;-0.1298466;1.422679,0.1184586;-0.3261944;1.354632,-0.01255382;-0.3557713;1.098363,-0.0113834;-0.3878711;1.076376,-0.10505;-0.5258475;1.375001,0
300,329,-1256;13996;-8800,1054;-502;-1087,-0.09377074;-0.09498131;1.443239,0.06852078;-0.1313122;1.422229,0.1187979;-0.3275408;1.354286,-0.01252404;-0.3558054;1.098338,-0.01152807;-0.3862116;1.073619,-0.1050434;-0.5258546;1.374998,0
333,330,-1460;13852;-8704,1154;-482;-1093,-0.09379309;-0.09492651;1.443294,0.0698856;-0.1319933;1.422141,0.1189924;-0.3284653;1.354036,0.08155996;-0.3880893;1.149819,-0.000542373;-0.3872147;1.07336,-0.1051131;-0.5257461;1.37502,0
